StartTime: 2020-08-19 12:21:47.370 RatName Doreen
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	 12:23:09.965	0.2808	0.0615	1.1802	33.3252	205.7495	-102.0508	-17.9407	-7.5256	21.3794	30.29	-29	144	211 
0x50	 12:23:10.054	0.1299	-0.3394	1.1367	28.9307	41.6870	19.5313	-18.0396	0.0494	21.0938	30.32	-47	147	219 
0x50	 12:23:10.159	-0.5649	0.4746	0.2158	-29.9072	-287.9639	7.5073	-17.6166	2.0270	24.3018	30.31	-49	144	222 
0x50	 12:23:10.311	-0.3271	-0.2925	0.9976	36.1328	-27.7100	212.7075	-18.5010	-10.6348	49.6472	30.29	35	105	176 
0x50	 12:23:10.366	-0.3120	0.1025	0.9316	-58.5327	-5.8594	219.3604	-18.8141	-6.5643	67.6813	30.29	63	45	155 
0x50	 12:23:10.454	-0.0518	-0.6855	0.9419	28.4424	126.2207	-38.0859	-22.4121	-11.3818	64.3799	30.30	77	26	132 
0x50	 12:23:10.558	-0.3545	-0.0757	0.8892	30.9448	-17.5781	23.1934	-18.1055	-4.9493	61.5289	30.31	69	34	144 
0x50	 12:23:10.663	1.1851	-0.6138	0.5371	21.1792	-203.4302	160.2173	-24.4556	-21.4178	70.7025	30.32	90	22	103 
0x50	 12:23:10.774	0.6187	-0.2573	0.7529	101.5015	74.7070	102.4780	-17.7319	-15.0128	80.3210	30.29	89	-15	91 
0x50	 12:23:10.860	-0.2979	0.1841	0.9546	-7.5073	3.8452	-0.3052	-11.8048	-6.0260	81.6394	30.31	77	-31	118 
0x50	 12:23:10.962	0.8979	-0.2598	0.8423	18.6768	91.6138	-118.1030	-15.2710	-8.7836	73.8666	30.30	83	-19	116 
0x50	 12:23:11.050	0.0073	-0.4961	0.8550	-29.5410	-5.5542	-98.3887	-15.5676	-8.5638	62.2375	30.35	83	19	122 
0x50	 12:23:11.155	0.3472	-0.5054	0.7988	-51.6968	6.9580	-27.2217	-17.3035	-14.2438	57.7332	30.32	85	38	110 
0x50	 12:23:11.247	0.5342	-0.1763	0.8521	-13.5498	77.5146	-66.4673	-20.2588	-15.6390	54.5361	30.32	86	46	106 
0x50	 12:23:11.353	0.4653	-0.3657	0.8042	-43.3350	49.7437	-27.2827	-20.8411	-14.4196	48.3618	30.33	79	58	113 
0x50	 12:23:11.455	0.4600	-0.3965	0.8228	12.2070	64.8804	-65.2466	-19.8303	-10.4865	40.1221	30.34	69	72	132 
0x50	 12:23:11.559	-0.1548	-0.1782	1.1001	38.2080	-2.3193	39.0625	-16.2213	-4.3451	37.9523	30.35	52	84	153 
0x50	 12:23:11.662	-0.0547	-0.3184	0.9663	0.6714	-44.9219	49.4995	-15.0677	-3.8342	42.5336	30.32	60	74	155 
0x50	 12:23:11.770	0.2407	-0.4043	0.9839	-1.8311	-12.2681	5.3711	-14.1174	-6.6522	47.6257	30.32	72	55	142 
0x50	 12:23:11.850	0.0405	-0.2891	0.8267	-66.0400	13.9160	48.4009	-16.8365	-4.4604	50.8118	30.32	72	36	143 
0x50	 12:23:11.983	-0.1602	-0.4058	0.9097	-64.0869	-183.1055	-47.2412	-22.7582	-9.0417	54.9536	30.33	79	14	125 
0x50	 12:23:12.058	0.9917	-0.2285	0.5903	-4.2114	95.9473	21.3623	-26.9604	-26.9989	55.1294	30.36	93	22	74 
0x50	 12:23:12.198	0.1230	-0.3198	0.9365	10.0708	86.1816	-10.3760	-26.4056	-11.2994	48.7354	30.35	86	18	106 
0x50	 12:23:12.251	0.3369	-0.3296	0.8789	14.2822	19.0430	-40.5273	-23.7909	-10.2448	45.9833	30.37	78	23	127 
0x50	 12:23:12.360	0.1343	-0.4829	0.9780	-21.6675	-45.7764	54.6875	-23.8458	-8.6353	44.1266	30.34	77	28	138 
0x50	 12:23:12.458	0.0527	-0.2407	0.9463	9.4604	-11.2305	38.8794	-23.9777	-6.7511	47.7246	30.34	78	18	139 
0x50	 12:23:12.570	0.1450	-0.1646	0.9297	36.1328	-111.3281	-56.8237	-20.5225	-9.8987	50.5316	30.37	79	15	129 
0x50	 12:23:12.651	0.3418	-0.3267	0.8589	16.7847	-44.3115	-32.7759	-17.0398	-18.8965	46.5271	30.33	88	34	102 
0x50	 12:23:12.779	0.4424	-0.3286	0.8438	-3.3569	-24.5972	-2.6245	-17.0782	-23.1976	46.0107	30.32	93	46	86 
0x50	 12:23:12.855	0.3369	-0.2920	0.8584	6.8359	-15.1978	39.4897	-17.2760	-24.2358	47.6697	30.33	95	39	79 
0x50	 12:23:12.991	0.3291	-0.4390	0.7202	5.8594	-19.1650	29.9072	-18.2758	-25.5432	51.9873	30.38	99	31	72 
0x50	 12:23:13.050	0.4370	-0.1768	0.9014	17.3340	-1.9531	33.2031	-18.8416	-25.2905	56.1841	30.37	100	12	66 
0x50	 12:23:13.203	0.4878	-0.2622	0.8506	11.7798	-37.1704	25.6348	-18.4021	-25.9552	60.9686	30.41	100	2	63 
0x50	 12:23:13.246	0.5571	-0.2944	0.8271	3.6621	-3.4790	-9.2773	-18.7042	-27.6581	63.6877	30.35	96	-7	53 
